Date : 2021-09-30 02:09:02
Directory : d:\REACT\ExpoApp-frontend2\frontend
Total : 290 files,  54800 codes, 719 comments, 2185 blanks, all 57704 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         10 |     33,074 |          0 |          8 |     33,082 |
| JavaScript |         74 |      7,937 |        140 |        705 |      8,782 |
| XML        |        125 |      7,460 |        107 |        135 |      7,702 |
| SCSS       |         74 |      6,218 |        437 |      1,314 |      7,969 |
| HTML       |          3 |         83 |         30 |         13 |        126 |
| CSS        |          1 |         16 |          0 |          2 |         18 |
| Docker     |          2 |          8 |          5 |          7 |         20 |
| Markdown   |          1 |          4 |          0 |          1 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        290 |     54,800 |        719 |      2,185 |     57,704 |
| desktop                                                                                                                 |        282 |     21,892 |        667 |      2,147 |     24,706 |
| desktop\src                                                                                                             |        275 |     21,670 |        667 |      2,139 |     24,476 |
| desktop\src\main                                                                                                        |          1 |         16 |          0 |          4 |         20 |
| desktop\src\mockserver                                                                                                  |          2 |         56 |          0 |          1 |         57 |
| desktop\src\renderer                                                                                                    |        272 |     21,598 |        667 |      2,134 |     24,399 |
| desktop\src\renderer\public                                                                                             |          5 |        138 |         30 |         13 |        181 |
| desktop\src\renderer\src                                                                                                |        265 |     21,434 |        634 |      2,116 |     24,184 |
| desktop\src\renderer\src\assets                                                                                         |        128 |      7,677 |        107 |        136 |      7,920 |
| desktop\src\renderer\src\assets\img                                                                                     |        125 |      7,451 |        107 |        135 |      7,693 |
| desktop\src\renderer\src\assets\img\brand                                                                               |          2 |         13 |          1 |          1 |         15 |
| desktop\src\renderer\src\assets\img\favicon                                                                             |          4 |         87 |          0 |          4 |         91 |
| desktop\src\renderer\src\assets\img\flags                                                                               |        100 |      4,366 |        100 |        100 |      4,566 |
| desktop\src\renderer\src\assets\img\icons                                                                               |          3 |         19 |          1 |          1 |         21 |
| desktop\src\renderer\src\assets\img\illustrations                                                                       |          4 |      2,807 |          3 |         23 |      2,833 |
| desktop\src\renderer\src\assets\img\technologies                                                                        |          8 |         87 |          1 |          5 |         93 |
| desktop\src\renderer\src\assets\syntax-themes                                                                           |          2 |        225 |          0 |          0 |        225 |
| desktop\src\renderer\src\components                                                                                     |         18 |      3,619 |         67 |        276 |      3,962 |
| desktop\src\renderer\src\data                                                                                           |          8 |        416 |          0 |         26 |        442 |
| desktop\src\renderer\src\pages                                                                                          |         35 |      3,452 |          9 |        352 |      3,813 |
| desktop\src\renderer\src\pages\components                                                                               |         16 |      2,010 |          0 |        221 |      2,231 |
| desktop\src\renderer\src\pages\dashboard                                                                                |          1 |        168 |          3 |         10 |        181 |
| desktop\src\renderer\src\pages\documentation                                                                            |          7 |        224 |          0 |         42 |        266 |
| desktop\src\renderer\src\pages\examples                                                                                 |          6 |        289 |          3 |         34 |        326 |
| desktop\src\renderer\src\pages\tables                                                                                   |          1 |         26 |          0 |          6 |         32 |
| desktop\src\renderer\src\scss                                                                                           |         74 |      6,218 |        437 |      1,314 |      7,969 |
| desktop\src\renderer\src\scss\volt                                                                                      |         73 |      6,206 |        418 |      1,300 |      7,924 |
| desktop\src\renderer\src\scss\volt\components                                                                           |         34 |      2,402 |        156 |        503 |      3,061 |
| desktop\src\renderer\src\scss\volt\layout                                                                               |          5 |      1,139 |         29 |        193 |      1,361 |
| desktop\src\renderer\src\scss\volt\mixins                                                                               |          7 |        252 |          3 |         35 |        290 |
